wavenumber,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,
472.576,45.85888695,115.7051299,188.8604061,136.3277449,59.85823717,58.43377299,193.5755748,136.5059145,257.8414206,37.90450189,101.7747178,36.09412941,89.92311292,369.8475348,183.9669203,47.21151852,12.72041749,142.1455177,398.1720624,27.27236072,74.52430436,74.52430436,128.3812383
473.651,90.88621075,75.99036105,184.2417171,125.668258,35.14879414,82.2299489,144.8745069,139.0493366,252.0265417,92.03149092,132.9401705,56.13806201,63.14635347,411.0894105,118.4301162,90.0440017,44.73075815,172.1826237,361.4853409,94.46407556,122.1187632,122.1187632,86.69905114
474.726,79.16052231,158.8382914,209.4038657,128.1017608,97.76837515,157.1111127,209.5844259,152.7415217,277.8395167,70.91309296,201.2796129,90.12798666,121.8236255,421.7311182,219.2323005,113.3148882,79.53209263,260.7507186,436.3324337,48.3567913,126.0712224,126.0712224,82.18307529
475.801,-0.374178644,110.7586248,225.3648479,113.9442533,80.59498398,70.57626413,130.5553315,94.99776643,212.7863419,33.1417126,157.4150447,36.94390318,71.91693343,369.3976533,144.7034729,36.35318263,42.00742343,143.3978021,390.6243358,32.04251156,89.27268614,89.27268614,49.80311534
476.876,127.8501076,133.1926647,249.7536597,153.690735,111.7236244,155.7894029,233.5042234,156.9682676,297.1900137,98.3803544,191.6094655,83.10981138,154.7202819,447.9960115,230.8116331,121.7674895,131.658753,238.660874,382.1610425,94.63023997,144.3951585,144.3951585,94.40517587
477.95,92.75738448,139.8457152,292.7232971,210.1602058,85.35630012,97.23652864,193.6231013,114.1111218,221.1275283,91.25802295,162.7618752,60.64571107,133.6256754,429.2181883,200.0657809,145.0092132,82.17608396,212.429934,367.2505489,72.80998016,166.1346438,166.1346438,93.53326146
479.022,80.87865546,140.0077797,207.6667558,170.1306654,140.595015,100.8146411,260.3729649,142.6734258,277.688882,55.37972282,183.0462735,79.90560208,152.4051184,406.7051791,208.2479159,77.35395853,80.91441867,200.0839818,393.12085,79.73073575,127.5641459,127.5641459,134.4012767
480.097,82.03992399,133.6886622,199.5370319,125.4061136,91.91677265,106.1837401,149.9088137,131.3395762,305.423071,63.07845859,203.2336601,49.04048421,117.3726154,412.8599793,148.6570378,70.92582984,112.9757597,191.3620171,392.9299409,62.50551038,142.7346691,142.7346691,60.29852615
481.171,161.0991935,220.9772663,258.9861211,224.2705501,191.495577,247.6958252,295.1996475,211.7369696,388.6610915,160.6382348,262.2230347,181.2413573,207.4391711,459.6895845,225.2441464,119.1802317,154.2111094,232.5870396,481.5998166,154.5983077,216.2112176,216.2112176,146.5933144
482.243,153.0534675,173.8832958,314.5970194,220.1539746,112.1794317,143.5668961,259.6494659,226.2680027,335.6049397,85.81105613,175.6693972,153.0252211,157.5327899,483.2319899,170.1642413,134.9633687,143.4824704,292.2020491,473.768472,178.9391312,151.5637953,151.5637953,147.599246
483.317,148.7387494,222.1692545,299.7647225,253.9453869,175.4613405,187.6119526,276.8502687,220.4058722,288.1426118,155.436927,226.1527472,99.83407548,160.4264763,451.1771908,268.7363223,219.2007453,162.3528451,245.2680453,435.364902,90.32498473,165.6374066,165.6374066,146.7566256
484.388,198.9920427,291.6508459,312.6812262,305.2417866,220.1463072,238.0529943,288.4620553,210.8475745,420.1301038,184.2678522,205.3450844,150.2789202,186.4282348,492.2021825,258.034389,104.499366,235.7432361,276.9870278,500.5671016,213.5898717,253.6570554,253.6570554,184.7524578
485.46,133.6753507,239.981274,296.9215264,136.5351737,222.2503355,176.602021,308.3558256,183.7411062,263.6184118,161.306836,182.7074087,102.6947552,172.65307,436.1309602,249.1814412,190.4768354,209.2176458,204.2309963,443.6860655,138.9237959,173.365746,173.365746,170.947347
486.533,180.186677,326.8757423,298.6996186,181.3405477,172.6284292,238.0160323,314.3355791,219.4494639,315.9865318,178.0688832,214.5487197,103.1755801,205.9729864,401.3525191,196.9194786,160.9065581,266.7260766,208.1889506,439.4867884,204.6917609,182.7354824,182.7354824,168.2423979
487.605,177.746025,288.1628547,262.6214987,140.2509085,128.6015921,268.851028,286.1293155,249.5486442,260.3134599,86.86299837,125.4610171,63.97039476,109.1559884,392.4258543,153.9345007,127.6913384,253.0755312,188.1198904,453.7032652,146.7187702,219.7372687,219.7372687,142.4828151
488.676,257.3383981,370.2424149,398.0051623,223.6312556,244.9978279,185.3330077,320.6180345,287.8786435,316.236192,122.994186,244.7933007,116.060199,162.7250807,356.7669609,236.3435074,164.573881,337.1180118,214.1438154,518.5564905,135.8378275,246.5181092,246.5181092,215.3800031
489.747,234.5737998,397.8538265,363.740605,159.555589,305.9521402,293.500971,376.2447357,283.7894583,329.715724,137.8864506,264.4865702,43.76299273,167.4022676,393.9268338,217.3374983,167.3218905,240.5555211,236.4567252,446.117459,207.8559365,230.9090078,230.9090078,270.6503665
490.818,313.9523335,515.6122933,459.3358224,259.4219082,355.827533,305.8779178,351.8284186,299.059085,341.3850519,214.4227968,203.2598253,104.1107756,224.5415537,446.7304682,297.8044731,240.0000712,411.0390614,279.9726196,498.0841652,253.1201007,277.9459688,277.9459688,433.4879098
491.889,302.1677026,544.0818191,423.4388101,274.6692131,309.1870099,347.7808477,478.3970831,343.7835202,388.0681716,193.4342292,311.4250658,97.3175475,289.9349436,413.134859,291.8534315,217.8945277,438.8956353,295.0514982,584.1336036,252.4283237,341.5649962,341.5649962,231.0862376
492.959,282.0982105,529.3904074,460.3205636,167.7635033,304.9725746,311.6367603,426.6867286,289.2507601,393.4400788,212.9587523,245.8882912,87.83930818,241.3484416,448.6190011,305.3403732,251.9080645,365.7492452,301.0573607,562.7017688,256.4166092,386.8500942,386.8500942,272.4754546
494.03,322.6789608,580.0050621,483.4840785,226.4107785,332.9902309,344.5216554,399.9273548,316.5768011,376.8167695,178.2833706,234.6925015,131.7140575,258.0790524,447.3958893,291.3352978,227.1036862,443.4488935,263.9532069,545.9736551,252.1879608,334.7672668,334.7672668,297.3066651
495.1,373.3474568,611.3047868,479.07835,248.2830385,378.4589825,406.7995326,412.6949614,375.1326396,460.3562393,265.8290888,230.8576962,175.5717952,317.9907804,450.7715186,329.716205,288.6813973,494.4735828,296.7030364,574.281257,252.558382,328.6545181,328.6545181,285.3748738
496.171,407.458924,659.0735852,540.7333736,292.127283,388.0178331,412.9363916,440.985548,424.4322718,415.1944841,248.5809114,324.3248751,155.9815211,305.2656301,465.1038837,292.6810945,326.3222022,496.7073154,302.7248488,597.8985688,244.6158764,407.9108523,407.9108523,338.6549853
497.239,420.4260997,716.8144609,574.6551447,330.3135117,422.2527865,409.761232,548.9771141,388.2386941,469.1254994,292.802843,344.1450379,229.0612349,320.945606,468.2989794,318.906966,335.4281055,557.5580939,362.7846439,660.8335848,356.8714478,435.5782735,435.5782735,388.191304
498.309,396.6777734,703.7504178,596.4706585,318.7977243,435.2388464,435.8240535,452.0876594,402.4819026,465.091281,295.626888,362.8991842,224.9059366,340.2127126,542.0268003,355.9918191,321.5421117,554.8889206,354.7524213,601.526299,287.2460996,397.0437857,397.0437857,418.3687346
499.379,428.8850664,736.4904594,576.9239103,338.4069205,490.3180165,469.1138558,576.1931834,402.9168935,524.2618244,355.250051,433.8123139,241.7996259,412.5829544,554.1613411,403.0406534,358.9892252,516.392798,338.4121807,722.8257058,347.8548354,486.851393,486.851393,463.1462815
500.446,497.6842423,776.5285894,680.1838951,335.1081001,482.1273005,515.2056386,561.8206859,453.7446629,584.2791252,348.8413367,375.4824265,211.9633025,444.5533358,565.3825964,472.0284687,372.5714506,637.3757285,393.5739218,695.5717991,404.7246589,479.4430995,479.4430995,450.1529493
501.514,475.7697843,729.6318114,622.3156082,350.2262626,530.8137021,567.7694014,561.3461664,454.2172071,550.9411788,379.1227494,406.1495217,234.4219663,363.9498613,541.9075608,394.5722647,357.7987924,587.1367146,343.4966442,676.727573,375.5505736,485.8849094,485.8849094,451.8647426
