Wavenumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
658.397,902.3758916,447.6448954,159.7189555,352.7866275,342.2023084,465.0939282,61.60004976,131.2259764,138.3281525,391.18701,487.6182724,144.5747536,145.3554037,135.2241047,71.55839052,325.8961091,337.4333968,351.4114935,273.0359223,557.9422541
662.515,685.5513052,524.1019525,158.7557074,276.6295714,258.4604189,467.8829202,151.1697636,121.805634,196.5637295,337.0045121,315.1679957,146.4526356,236.5536613,167.0015297,133.471559,424.5255644,244.9526437,372.4298753,340.7655064,562.3151156
666.634,501.8785849,519.5990525,63.59349511,153.4828323,297.9627504,435.7538782,89.0968433,69.87127429,106.6280013,345.3615334,178.5473527,80.01095451,250.0679156,101.8043794,29.64991571,285.7260822,316.399098,431.3334078,133.5696646,478.2596147
670.742,478.0177641,458.2702017,20.72266122,77.56642606,209.1533165,521.8288057,-47.92279444,91.4128744,151.0439588,309.6380814,151.9363302,44.16371724,177.4315521,-14.37748357,57.15950722,234.5016825,264.2157829,332.7574882,148.1778383,424.8357829
674.851,364.8088766,455.3524064,-30.08145233,121.8803685,212.4711304,423.0317064,23.67276714,15.15541139,73.22359275,279.9161639,139.0949154,69.99893059,199.8519557,27.19580304,48.33438025,231.0613854,162.6097217,266.5785135,135.9624689,412.7036514
678.953,342.6719557,499.2266732,-13.34950383,86.76467537,236.4982055,455.0045837,-12.74807607,-44.12413778,-0.656106048,254.9537885,-3.626904996,41.11260139,128.6465113,-31.31575458,-44.99641857,151.9952109,153.6129375,225.3128802,105.4869977,311.6212517
683.052,405.397035,490.4130081,1.507856293,193.9893625,266.8085552,562.1274411,96.0090718,16.63320383,146.6568532,348.1879627,99.17085602,78.24873645,156.9496038,-22.13215032,137.3771573,365.751179,229.5094536,355.4179846,143.4498658,522.884615
687.147,466.6541478,696.6774176,105.6103124,218.3444456,450.2181928,660.477282,190.2247341,166.7478544,266.2404679,378.2776941,240.4982216,260.2693426,351.1486176,131.7369351,197.8436045,431.4283095,375.5322933,510.0132228,315.7665142,606.0177725
691.238,531.5333275,887.2919077,254.983549,491.3399405,631.0601315,846.5321097,362.1594341,281.525232,376.5537353,653.1599901,363.8652149,392.5704266,540.0449372,399.7720421,394.1104192,605.0606225,577.8404797,672.7079905,439.1673838,702.0227555
695.326,637.7346074,979.3354847,390.6142492,608.8758629,711.0023846,1047.751928,394.1636948,437.6207546,588.6866528,836.8318584,488.0218591,528.4819952,625.3719466,670.2837113,490.5390976,799.3921378,643.715036,742.7136828,594.213915,847.879595
699.407,706.7380209,1200.569155,510.5860939,721.4922284,888.1149652,1156.621739,668.5180389,603.7678399,741.5592176,981.7343062,633.0581773,706.8640552,698.7200295,854.6324825,606.4501355,955.1048753,765.7999852,978.5316944,671.7335481,990.9083223
703.487,625.0536011,1222.812923,508.45276,716.6990527,937.5478866,1222.981547,630.0829888,566.3229051,804.711427,987.887341,587.6541925,718.7266133,724.0395686,855.8788951,617.8740282,861.9488546,772.2273504,994.0294189,682.7067224,935.9889681
707.561,530.1513812,1157.826796,325.6679191,638.4563514,780.3711616,1136.371354,538.579066,452.893367,595.5832781,813.3909699,356.7999278,554.5196761,646.3609462,687.3534877,440.3112704,736.2440954,697.9771545,846.5992493,500.1438769,890.9215635
711.633,425.5313943,948.1217799,245.045238,411.9241399,644.0648033,985.5111632,333.9167915,348.1056414,519.1947679,758.6252002,287.545406,457.3932501,578.3545438,375.3967978,278.982356,627.5906173,450.3174204,756.8095772,464.0754497,679.0161393
715.699,262.3136734,895.9498794,171.3783801,370.8124337,573.9088244,931.2409778,307.2766859,306.4701441,326.9158935,686.7800387,130.40065,315.5573418,443.4307421,350.7193625,290.9477787,532.3104398,434.9581709,635.8957938,401.6618784,519.432726
719.761,408.0382515,868.0121002,207.1610063,424.061248,639.8532378,931.2108,332.4192692,304.2022904,421.4766517,701.4054926,285.1856828,333.9619576,432.8399216,297.7017181,308.9680319,595.9075823,585.2814288,631.3752891,406.4836003,653.1713544
723.819,585.6151616,910.2664479,245.6967759,613.5305983,731.5180562,981.0606325,445.1050613,360.0274951,478.1370396,798.0715688,333.8705272,436.247104,522.7824619,290.2644011,358.3836085,620.758064,567.6462167,729.1074528,494.2910521,731.352055
727.874,883.4144365,857.9839276,354.8793461,824.0404999,869.9532921,1014.900478,1079.384582,373.490173,584.277054,873.2482739,539.025206,495.0727874,559.0787425,512.4679472,468.2350013,719.6199045,626.5645574,796.1726738,566.0246702,862.6548584
731.921,1226.166109,1043.062545,607.5423716,1040.960968,1053.458958,1166.520338,612.6083492,550.6887384,676.6366917,1155.375615,857.319742,664.2990139,661.6691422,775.1028922,736.2727027,962.8531228,889.6404734,861.4103403,812.5148905,1204.539795
735.97,1603.180212,1133.317304,812.7595035,1299.022018,1233.715067,1157.740216,742.4668821,526.8016051,850.7859496,1304.773599,1121.804158,760.8157901,712.1140393,960.9197711,734.8872045,1065.637738,963.9899872,929.8498397,951.3421483,1324.276895
740.011,1907.706779,1123.022211,978.554387,1555.053664,1347.951631,1260.130113,836.5906976,704.9861866,940.9648241,1394.362231,1275.568477,855.223122,806.0438115,989.1791182,926.958998,1141.99377,1150.861121,1045.825559,1090.696878,1473.566189
744.049,1983.065841,1013.35727,983.280659,1555.355922,1397.458663,1270.420032,846.7403123,659.9138957,941.7133121,1365.121519,1258.82272,814.3010157,719.7488356,1049.871467,885.5185736,1139.061237,1139.193898,877.1218827,1101.159514,1491.137707
748.082,2077.70743,934.6354871,1048.851947,1706.248806,1342.676174,1150.009974,875.5562419,731.9781445,941.9414101,1407.821469,1373.236912,796.7394775,722.0394879,1040.98735,834.3964207,1086.140157,1172.06834,988.9641964,1100.090487,1564.951479
752.112,1818.23158,826.5058656,855.0418675,1446.762331,1259.534176,1120.809942,746.6390015,654.6293445,790.5891144,1274.282087,1161.291073,676.1985131,721.2161436,904.2372982,760.1830281,1100.720551,1070.474469,913.5688836,1047.56023,1435.287534
756.138,1820.038322,827.6614106,755.4440282,1408.646512,1201.682682,983.8099363,627.2291051,483.7539066,807.3564213,1067.293378,1078.705226,686.1281286,579.8891775,716.9518422,670.5088834,1071.302435,990.5423063,798.6393268,832.6691723,1293.235903
760.159,1798.777688,910.7831267,765.3420272,1452.951362,1233.021703,1103.659959,789.387066,675.3742407,796.3033272,1284.09535,1171.999393,665.4083297,597.9289635,780.9115113,732.3444737,1008.16583,1052.521875,810.2479079,918.0677438,1382.946614
764.175,1923.169708,866.0920182,837.6494552,1623.116896,1259.341251,1101.130012,773.4433967,612.9887565,844.9198283,1291.778007,1282.813596,761.6591222,578.0458751,860.0668341,782.1502855,1101.640753,1138.773196,850.956008,962.9063725,1450.309698
768.19,2243.334416,967.6610896,1069.169895,1831.493128,1434.771337,1111.070096,906.5286093,766.8118629,983.1259205,1463.611355,1452.017857,811.6705118,688.7202849,1028.498339,886.3068041,1187.087222,1211.666292,968.0300072,1157.315486,1566.815183
772.199,1870.581841,883.4283451,881.9969221,1480.270071,1351.071972,1055.220213,746.0232149,623.3239682,809.5115999,1404.6754,1217.302197,770.9725041,575.0225652,859.0565518,720.3745147,1111.205257,1171.091184,801.0372847,994.9955106,1455.713099
776.204,1940.982014,903.7537889,868.6840999,1519.34774,1364.503169,1144.940363,810.5177236,650.0754801,896.0868625,1361.230147,1394.826639,745.8451046,625.2530875,829.0619997,846.293901,1143.634874,1181.397893,852.5062192,984.2768719,1488.053474
780.204,2104.994967,915.2074251,851.4249837,1751.386148,1462.524937,1229.410548,884.6326449,740.9068054,927.161704,1348.015602,1496.121203,906.5983189,620.5322227,851.1352075,884.0454463,1272.266092,1353.226441,927.9591879,953.0099941,1536.126337
784.202,2379.95073,1012.707258,1223.56312,1944.245308,1603.047288,1316.170768,1097.858487,881.9983504,1005.59612,1664.051769,1824.09591,1086.152152,756.7103412,1180.146699,1127.469633,1545.008929,1498.876849,1024.412568,1328.995301,1805.241718
788.196,2526.759333,1075.04429,1420.132047,2188.715233,1852.440233,1495.681025,1372.635759,1046.360521,1177.420107,1730.268653,2139.970783,1287.45661,957.7378126,1366.776999,1263.356943,1675.013403,1665.529138,1162.042735,1367.853214,2059.579644
792.184,2647.410806,1259.921527,1588.505291,2419.105936,2052.093782,1629.621319,1477.624966,1252.573721,1381.093659,2015.47626,2387.295841,1459.281697,1237.155006,1514.936629,1483.327856,1950.46953,1935.683329,1328.303063,1635.914155,2287.530143
796.168,3172.55518,1600.178972,1976.816362,2864.317431,2501.617946,2095.26165,1874.376615,1595.158355,1795.126773,2403.734593,2930.591105,1882.247419,1432.872289,2023.436109,1908.782851,2368.207329,2339.919443,1646.173927,2039.688544,2725.173244
800.151,4069.382484,1949.736628,2705.298757,3669.689729,3168.072735,2499.232019,2566.211208,2063.054824,2283.819443,3033.733657,3732.546597,2528.24378,1951.640029,2794.95596,2485.632406,2966.096817,2911.0575,2139.275698,2598.556798,3418.118976
804.126,4861.462746,2183.444498,3346.845952,4436.232844,3678.308159,2860.252426,3062.869248,2452.053531,2673.791666,3605.963457,4549.602336,2904.400786,2280.97859,3346.856698,2936.856997,3453.43801,3411.207521,2518.898747,3094.279334,3982.327364
808.098,4784.895997,1997.782587,3317.001395,4151.476786,3543.824228,2648.552871,2998.501234,2385.404872,2405.203434,3399.703997,4582.048341,2875.38844,2127.708337,3180.138839,2876.687097,3426.540926,3306.189526,2385.573443,3031.116565,3983.208437
812.067,4592.742263,1962.400896,3185.608502,4228.591567,3458.55095,2633.283353,3033.097662,2456.189246,2410.094744,3228.255279,4513.054634,2831.356747,2261.38963,2918.032893,2894.253177,3585.69558,3509.063534,2366.940152,3073.508901,3951.032221
816.031,4461.061574,2008.89943,3132.980656,4069.597198,3586.428336,2782.253872,3087.079026,2569.747045,2469.42559,3296.607307,4605.911231,3079.485711,2310.162829,3008.899368,3011.415703,3640.411989,3640.389565,2470.409237,3001.59675,4049.008743
819.991,4460.203957,2221.788189,3500.451205,4336.45369,3973.026394,3161.204426,3590.445816,2935.56866,2635.965965,3627.510083,5158.288152,3464.925335,2597.478289,3186.608771,3421.53514,4084.390168,4002.697638,2818.761059,3321.090517,4362.31803
823.95,5272.359438,2765.157177,4539.843471,5421.141054,4947.645131,3869.525016,4767.23852,3868.924482,3292.145864,4399.213612,6698.455415,4503.165623,3460.796366,4119.961602,4460.34195,5419.080133,5244.987772,3601.165978,4253.990601,5537.820105
827.902,6893.258045,3840.546396,6356.830736,7060.139298,6576.784556,5234.925638,6386.69762,5381.954895,4531.91528,5983.107893,9000.403037,6197.616577,4742.82741,5874.718361,6286.116591,7239.181899,6948.329984,4904.214349,5563.597402,7449.754996
831.85,9451.099802,5397.305848,8759.666239,9832.268432,9097.104676,7182.906291,8892.303596,7581.570282,6437.324207,8400.35293,12219.41104,8751.5882,6640.181771,8628.119542,8635.379516,9947.565479,9506.674293,6930.286524,7813.211312,10290.71273
835.793,12985.88474,7512.935534,13107.81315,14095.95846,13043.3955,10332.76697,13652.35692,11757.87102,8985.962637,11789.01872,18920.41943,13162.15049,10188.17979,12265.45564,13209.12117,15315.26089,14314.40072,10392.67285,11569.31272,15190.08332
839.735,14144.87287,8494.235456,16484.67457,16397.8494,15720.86703,12346.20768,17902.82806,15178.79748,10030.87056,13306.29527,24032.12822,17043.22346,13031.38181,14081.10712,17020.212,19769.35814,18656.38927,12578.17367,14264.74201,19176.2568
843.669,12665.86423,7833.075613,15037.15345,14916.24125,14386.33927,11395.24841,16465.01745,14093.94001,9421.547975,11924.87258,21577.73744,15845.6971,12058.30815,13037.07447,15682.02242,18238.65724,17237.77996,11545.89931,13231.09954,17554.93319
847.601,10362.65884,6751.096004,10993.15257,11636.63402,10939.31223,8939.539155,11800.42554,9948.798961,7688.004865,9610.450638,15483.54709,11472.57141,8867.629131,10626.25812,11254.55285,12880.8582,12124.97282,8699.910093,9866.185676,12856.4125
851.528,8717.996706,6077.436629,9578.974583,10101.82771,9720.2859,8201.87991,10519.55274,8841.79466,6833.961221,8435.329447,13895.25717,10159.34638,7896.91505,9296.558539,9997.203679,11511.26103,10864.06784,7912.966321,8518.230753,11347.49476
855.452,8096.387862,6088.397486,10763.92202,10413.42231,10630.96029,9064.280666,12338.99946,10463.76742,6801.227032,8828.699001,16359.0677,11726.42202,9143.6162,9037.576138,11657.87528,13605.76574,12927.26504,8882.708292,9419.545105,13007.57998
859.372,7318.642322,5591.998571,9830.097308,9622.517844,9659.335397,8208.431415,11413.56608,9568.377563,6374.792286,7835.769297,14604.17868,11003.09831,8452.862866,8401.521343,10692.66804,12502.47232,11852.06443,7948.856296,8847.319054,11986.16818
