Wavenumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
662.515,349.1674673,492.8631102,195.4993461,203.3401946,226.8651427,83.69294398,163.0555295,917.0754687,373.387496,144.0605754,232.4200715,260.5527559,208.6256318,183.6646395,241.4567529
666.634,303.6194589,405.546063,215.8520164,225.8689909,367.6320344,92.91806237,201.8592132,911.9187005,436.3319285,217.7918934,274.3828985,295.6483471,179.3372073,198.6949318,357.807514
670.742,262.8362491,360.7197259,120.520245,166.0147771,217.4319255,93.74959682,149.6596545,829.6400709,391.9776604,58.13851688,158.6678125,285.495437,118.9038633,218.6212271,236.3216658
674.851,219.1077039,293.8538616,113.3643123,194.5176738,142.2346398,81.95787189,130.1068857,713.6192671,286.554469,57.45067879,158.2446143,143.5838121,90.42583444,133.2836559,277.5290407
678.953,241.4536888,309.5882326,154.374499,153.1178014,187.4700009,48.13321203,100.1909387,709.3059754,335.6421308,152.4686119,179.0631048,79.5232588,71.37335505,127.9723487,280.8694702
683.052,334.7040692,337.2026009,189.0310855,208.3552801,247.787832,143.7059416,176.6118454,723.7798815,335.1904225,156.462549,218.2330846,217.3335634,114.1466595,145.7674357,328.6527861
687.147,469.8887103,618.2867284,299.264352,346.29023,396.2879564,264.936385,318.8096377,1102.13067,578.8691199,285.5327227,446.4743541,481.3645121,291.6059821,312.7590469,414.7888195
691.238,647.1574769,825.0303765,545.0745787,502.972771,614.0401971,465.3148664,466.724347,1361.958026,720.937999,549.4893654,573.1567136,697.8558908,471.6515569,462.1373123,690.2374015
695.326,812.5202333,1047.253306,739.9420454,637.0630227,747.0643766,599.9117096,616.3060047,1797.711632,1034.606835,653.8027092,916.6099628,877.0174851,607.9736179,632.1823616,872.7583626
699.407,977.5668432,1461.655277,944.2170312,857.6011041,1118.640317,843.1672382,860.8946417,2249.671169,1289.575402,934.6429859,1183.513901,1175.22908,920.4023983,771.3743239,1118.821533
703.487,1075.187169,1477.356049,1011.689815,924.5671335,1192.297839,829.2917751,855.6602881,2326.046319,1291.163474,972.2504264,1180.388326,1236.740458,995.0681311,874.6933278,1120.74674
707.561,1001.941074,1312.675378,885.1406736,836.5512285,1040.396764,804.5856421,792.6529732,2055.496757,1253.110823,871.2652606,972.0930361,1010.601404,897.8910481,782.0195011,1046.063814
711.633,726.0884176,978.1730219,715.0598842,640.0735057,753.5969089,579.1191606,550.8827256,1557.062161,906.3172191,594.6577176,772.2178262,805.0316977,649.0413801,534.9629707,755.9925797
715.699,653.5290601,785.5887342,524.7677223,526.5940809,576.108093,447.0626509,465.029573,1308.722202,735.3924327,508.6480257,652.1124915,677.5611205,516.779357,453.5538627,592.7728638
719.761,473.7728607,630.2822691,382.8544628,446.1030692,493.370133,374.4864327,333.2335425,1031.616553,496.9362323,414.7764124,379.0568262,477.3794519,360.7352084,393.7123027,430.2744909
